trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,16,18.72004254466799,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,11,18.833964837399193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,17,16.72564926817867,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,0,20.53963471936261,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,5,-15.368352020968766,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",25,17,14.653729852814624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,19,14.14263229836791,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,7,30.719588074627406,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",30,12,34.98568548631996,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,9,5.6440159165235055,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
